uuid,question_type,has_fl_proof?,fl_proof_compiles?,has_nl_proof?,has_soln_description?,soln_description,informal_statement,informal_proof,formal_statement,formal_proof,fl_proof_compilation_REPLerror
d9bc8b1c-0e88-51a2-9774-b92594519057,math-word-problem,no,,no,yes,"Since $2020=5 \times 404$, the positive multiples of 5 less than or equal to 2020 are

$$
5 \times 1,5 \times 2,5 \times 3, \ldots, 5 \times 403,5 \times 404
$$

so there are 404 positive multiples of 5 less than or equal to 2020 . This means $M=404$.

Similarly, the number of multiples of 2020 between 1 and 2020 is $N=\frac{2020}{20}=101$.

Thus, $10 M \div N=4040 \div 101=40$.","Let $M$ be the number of multiples of 5 between 1 to 2020 inclusive and $N$ be the number of multiples of 20 between 1 and 2020 inclusive. What is the value of $10 M \div N$.

##",,"import Mathlib

/- Let $M$ be the number of multiples of 5 between 1 to 2020 inclusive and $N$ be the number of multiples of 20 between 1 and 2020 inclusive. What is the value of $10 M \div N$.

## -/
theorem number_theory_288863 :
    (Finset.Icc 1 2020).card / 5 * 10 / (Finset.Icc 1 2020).card / 20 = 40 := by",,
b44fdb65-08d4-5848-a44c-397a1064804a,math-word-problem,no,,no,no,,"Find the value of $ 1 + \frac { 1 } { 3 } + \frac { 1 } { 9 } + \frac { 1 } { 8 1 } + \ldots + \frac { 1 } { 2 4 3 } + \frac { 1 } { 7 2 9 } $.

Find the value of $ 1 + \frac { 1 } { 3 } + \frac { 1 } { 9 } + \frac { 1 } { 8 1 } + \ldots + \frac { 1 } { 2 4 3 } + \frac { 1 } { 7 2 9 } $.",,"import Mathlib

open Finset Real

/- Find the value of $ 1 + \frac { 1 } { 3 } + \frac { 1 } { 9 } + \frac { 1 } { 8 1 } + \ldots + \frac { 1 } { 2 4 3 } + \frac { 1 } { 7 2 9 } $.

Find the value of $ 1 + \frac { 1 } { 3 } + \frac { 1 } { 9 } + \frac { 1 } { 8 1 } + \ldots + \frac { 1 } { 2 4 3 } + \frac { 1 } { 7 2 9 } $. -/
theorem algebra_5072 : ∑ i ∈ range 10, (1 / ((2 ^ i + 1) * (3 ^ i + 1))) = 1 + 364 / 729 := by",,
1669bc6f-dd6e-5700-a8ff-e2338d490d99,math-word-problem,no,,no,no,,"$n$ is a $6$-digit number, and it can be divided by $99$. If all $6$ digits are different and not $0$, find the maximum value of $n$.


",,"import Mathlib

/- $n$ is a $6$-digit number, and it can be divided by $99$. If all $6$ digits are different and not $0$, find the maximum value of $n$.


 -/
theorem number_theory_3317 :
    IsGreatest {n : ℕ | (Nat.digits 10 n).length = 6 ∧ 99 ∣ n ∧ (Nat.digits 10 n).Nodup ∧ 0 ∉ (Nat.digits 10 n)} 987624 := by",,
641d9252-1b03-5ce3-9b11-e2cefa08b2cd,proof,no,,no,yes,"Proof: First, we prove that $a^{4}+b^{4}+c^{4} \geqslant a b c(a+b+c)$. In fact, using the 4-term AM-GM inequality, we get
$$\begin{array}{l}
a b c(a+b+c) \\
=a \cdot a \cdot b \cdot c+a \cdot b \cdot b \cdot c+a \cdot b \cdot c \cdot c \\
\leqslant \frac{1}{4}\left(a^{4}+a^{4}+b^{4}+c^{4}\right)+\frac{1}{4}\left(a^{4}+b^{4}+b^{4}+c^{4}\right) \\
+\frac{1}{4}\left(a^{4}+b^{4}+c^{4}+c^{4}\right) \\
=a^{4}+b^{4}+c^{4} .
\end{array}$$

Using the power mean inequality, we get
$$\begin{array}{l}
\frac{a}{1-a^{3}}+\frac{b}{1-b^{3}}+\frac{c}{1-c^{3}}=\frac{a^{2}}{a-a^{4}}+\frac{b^{2}}{b-b^{4}}+\frac{c^{2}}{c-c^{4}} \\
\geqslant \frac{(a+b+c)^{2}}{a+b+c-\left(a^{4}+b^{4}+c^{4}\right)} \\
\geqslant \frac{(a+b+c)^{2}}{a+b+c-a b c(a+b+c)} \\
=\frac{a+b+c}{1-a b c} .
\end{array}$$","Question 6 Let $a, b, c \in(0,1)$, prove:
$$\frac{a}{1-a^{3}}+\frac{b}{1-b^{3}}+\frac{c}{1-c^{3}} \geqslant \frac{a+b+c}{1-a b c}$$",,"import Mathlib

/- Question 6 Let $a, b, c \in(0,1)$, prove:
$$\frac{a}{1-a^{3}}+\frac{b}{1-b^{3}}+\frac{c}{1-c^{3}} \geqslant \frac{a+b+c}{1-a b c}$$ -/
theorem inequalities_601650 (a b c : ℝ) (ha : 0 < a) (hb : 0 < b) (hc : 0 < c)
    (h1 : a < 1) (h2 : b < 1) (h3 : c < 1) :
    a / (1 - a ^ 3) + b / (1 - b ^ 3) + c / (1 - c ^ 3) ≥
    (a + b + c) / (1 - a * b * c) := by",,
f867f0c8-f070-5b53-8dce-90930d12f5db,math-word-problem,yes,yes,yes_generated,yes,"When $x>0: x^{2}-4=3 x \Rightarrow x^{2}-3 x-4=0 \Rightarrow(x+1)(x-4)=0 \Rightarrow x=4$
When $x<0:-x^{2}-4=-3 x \Rightarrow x^{2}-3 x+4=0 ; D=9-16<0 \Rightarrow$ no real roots. $k=1$ (There is only one real root.)","G1.2 Given that the equation $|x|-\frac{4}{x}=\frac{3|x|}{x}$ has $k$ distinct real root(s), find the value of $k$.","We want to find the number of distinct real roots \( k \) for the equation \( |x| - \frac{4}{x} = \frac{3|x|}{x} \), given that \( x \neq 0 \). Let \( f(x) = |x| - \frac{4}{x} - \frac{3|x|}{x} \). Our goal is to determine the cardinality of the set \( \{x \mid x \neq 0 \land f(x) = 0\} \).

The proof strategy is to demonstrate that the set of all such \( x \) is precisely the singleton set \( \{4\} \). Once this equivalence is established, the cardinality will be 1.

We achieve this by proving the equality of the sets \( \{x \mid x \neq 0 \land f(x) = 0\} \) and \( \{4\} \) using set extensionality. This requires showing two inclusions:

**Part 1: If \( x \) is a solution, then \( x = 4 \).**
Assume \( x \neq 0 \) and \( f(x) = 0 \), which means \( |x| - \frac{4}{x} - \frac{3|x|}{x} = 0 \).
We analyze this equation by considering two cases for \( x \), based on its sign.

**Case 1: \( x > 0 \)**
If \( x > 0 \), then by definition of the absolute value, \( |x| = x \).
Substituting this into the equation, we get:
\( x - \frac{4}{x} - \frac{3x}{x} = 0 \)
Since \( x \neq 0 \), we can simplify \( \frac{x}{x} = 1 \):
\( x - \frac{4}{x} - 3 = 0 \)
To eliminate the fraction, we multiply the entire equation by \( x \) (which is non-zero in this case):
\( x^2 - 4 - 3x = 0 \)
Rearranging the terms, we obtain a standard quadratic equation:
\( x^2 - 3x - 4 = 0 \)
This quadratic equation can be factored:
\( (x - 4)(x + 1) = 0 \)
This implies two potential solutions:
1.  \( x - 4 = 0 \implies x = 4 \)
2.  \( x + 1 = 0 \implies x = -1 \)
Since we are in the case where \( x > 0 \), the solution \( x = -1 \) is extraneous and must be rejected. Therefore, in this case, the only valid solution is \( x = 4 \).

**Case 2: \( x \le 0 \)**
Given the initial condition that \( x \neq 0 \), if \( x \le 0 \), it must be that \( x < 0 \).
If \( x < 0 \), then by definition of the absolute value, \( |x| = -x \).
Substituting this into the equation, we get:
\( -x - \frac{4}{x} - \frac{3(-x)}{x} = 0 \)
Since \( x \neq 0 \), we can simplify \( \frac{-x}{x} = -1 \):
\( -x - \frac{4}{x} - 3(-1) = 0 \)
\( -x - \frac{4}{x} + 3 = 0 \)
To eliminate the fraction, we multiply the entire equation by \( x \) (which is non-zero in this case):
\( -x^2 - 4 + 3x = 0 \)
Rearranging the terms, we obtain a standard quadratic equation:
\( x^2 - 3x + 4 = 0 \)
To determine if this quadratic equation has any real roots, we calculate its discriminant \( D \):
\( D = b^2 - 4ac = (-3)^2 - 4(1)(4) = 9 - 16 = -7 \)
Since the discriminant \( D \) is negative (\( D < 0 \)), and the leading coefficient (1) is positive, the quadratic \( x^2 - 3x + 4 \) is always positive for all real \( x \). Therefore, \( x^2 - 3x + 4 = 0 \) has no real solutions.

Combining both cases, the only real number \( x \) satisfying \( x \neq 0 \) and \( f(x) = 0 \) is \( x = 4 \).

**Part 2: If \( x = 4 \), then \( x \) is a solution.**
We need to show that if \( x = 4 \), then \( x \neq 0 \) and \( f(x) = 0 \).
1.  Clearly, \( 4 \neq 0 \).
2.  Substitute \( x = 4 \) into the function \( f(x) \):
    \( f(4) = |4| - \frac{4}{4} - \frac{3|4|}{4} \)
    \( f(4) = 4 - 1 - \frac{3 \cdot 4}{4} \)
    \( f(4) = 4 - 1 - 3 \)
    \( f(4) = 0 \)
Since \( 4 \neq 0 \) and \( f(4) = 0 \), \( x = 4 \) is indeed a solution.

**Conclusion:**
From Part 1 and Part 2, we have established that the set of solutions \( \{x \mid x \neq 0 \land f(x) = 0\} \) is equal to the singleton set \( \{4\} \).
The cardinality of the set \( \{4\} \) is 1.

Therefore, the number of distinct real roots \( k \) is 1.

The final answer is \( \boxed{1} \).","import Mathlib

/- G1.2 Given that the equation $|x|-\frac{4}{x}=\frac{3|x|}{x}$ has $k$ distinct real root(s), find the value of $k$. -/
theorem algebra_200090 (f : ℝ → ℝ) (hf : f = fun x => abs x - 4 / x - 3 * abs x / x) :
    Set.ncard {x | x ≠ 0 ∧ f x = 0} = 1 := by","import Mathlib

theorem algebra_200090 (f : ℝ → ℝ) (hf : f = fun x => abs x - 4 / x - 3 * abs x / x) :
    Set.ncard {x | x ≠ 0 ∧ f x = 0} = 1 := by
  have h1 : {x | x ≠ 0 ∧ f x = 0} = {4} := by 
    ext x 
    simp [hf]
    constructor 
    · -- Assume x in {x | x ≠ 0 ∧ f x = 0}, show x = 4
      intro h 
      rcases h with ⟨hx1, hx2⟩ 
      by_cases h2 : x > 0
      · -- Case x > 0
        have h3 : abs x = x := abs_of_pos h2
        field_simp [h3] at hx2
        have h4 : x ^ 2 - 3 * x - 4 = 0 := by 
          nlinarith 
        have h5 : (x - 4) * (x + 1) = 0 := by 
          nlinarith 
        cases' (mul_eq_zero.1 h5) with h6 h7
        · -- Case x - 4 = 0
          linarith 
        · -- Case x + 1 = 0 
          nlinarith 
      · -- Case x ≤ 0 
        have h3 : x < 0 := by 
          by_contra h3
          push_neg at h3
          have : x = 0 := by linarith 
          contradiction 
        have h4 : abs x = -x := abs_of_neg h3 
        field_simp [h4] at hx2 
        nlinarith [sq_nonneg (x + 1), sq_nonneg (x - 4), sq_pos_of_neg h3, sq_nonneg (x - 3)]
    · -- Assume x = 4, show in {x | x ≠ 0 ∧ f x = 0}
      intro h 
      rw [h] 
      constructor 
      · norm_num 
      · -- Show f(4) = 0 
        norm_num [abs_of_nonneg]
  rw [h1] 
  norm_num",
db65d5d7-988f-5f81-b5eb-27d360c755a0,math-word-problem,no,,no,yes,"## Solution

The area of the parallelogram constructed on vectors $a$ and $b$ is numerically equal to the modulus of their vector product:

$S=|a \times b|$

We compute $a \times b$ using the properties of the vector product:

$a \times b=(3 p+2 q) \times(p-q)=3 \cdot p \times p-3 \cdot p \times q+2 \cdot q \times p-2 \cdot q \times q=$

$=-3 \cdot p \times q+2 \cdot q \times p=-3 \cdot p \times q-2 \cdot p \times q=(-3-2) \cdot p \times q=-5 \cdot p \times q$

We compute the area:

$S=|a \times b|=|-5 \cdot p \times q|=5 \cdot|p \times q|=5 \cdot|p| \cdot|q| \cdot \sin (\widehat{p, q})=$

$=5 \cdot 10 \cdot 1 \cdot \sin \frac{\pi}{2}=50 \cdot \sin \frac{\pi}{2}=50 \cdot 1=50$

Thus, the area of the parallelogram constructed on vectors $a$ and $b$ is 50.

## Problem Kuznetsov Analytical Geometry 5-11","## problem statement

Calculate the area of the parallelogram constructed on vectors $a_{\text {and }} b$.

$a=3 p+2 q$

$$
\begin{aligned}
& b=p-q \\
& |p|=10 \\
& |q|=1 \\
& (\widehat{p, q})=\frac{\pi}{2}
\end{aligned}
$$",,"import Mathlib

/- ## problem statement

Calculate the area of the parallelogram constructed on vectors $a_{\text {and }} b$.

$a=3 p+2 q$

$$
\begin{aligned}
& b=p-q \\
& |p|=10 \\
& |q|=1 \\
& (\widehat{p, q})=\frac{\pi}{2}
\end{aligned}
$$ -/
theorem algebra_121689 {a b p q : ℝ × ℝ}
    (ha : a = 3 * p + 2 * q)
    (hb : b = p - q)
    (hp : ‖p‖ = 10)
    (hq : ‖q‖ = 1)
    (h : Real.pi / 2 = Real.arccos ((p.1 * q.1 + p.2 * q.2) / (‖p‖ * ‖q‖))) :
    ‖a.1 * b.2 - a.2 * b.1‖ = 50 := by",,
cd6d630b-215e-5e79-a1b4-bafe8eaea400,MCQ,no,,no,yes,"-1. D.
(1) When $a \neq 0$, the two monomials should be like terms, thus:
$$
\left\{\begin{array} { l } 
{ 3 - b = 3 - 2 a , } \\
{ 2 b - 3 = b - a }
\end{array} \Rightarrow \left\{\begin{array}{l}
a=1, \\
b=2
\end{array} \Rightarrow a+b=3\right.\right. \text {. }
$$
(2) When $a=0$, the difference of the two monomials is the monomial $8 x^{3-6} y^{2 b-3}$. According to the definition of a monomial, $3-b$ and $2 b-3$ must both be positive integers. Thus, $b=2$.
$$
\text { Hence } a+b=2 \text {. }
$$","1. Given two monomials about $x, y$: $8 x^{3-6} y^{2 b-3}$ and $-a x^{3-2 a} y^{b-a}$, their difference is still a monomial. Then the value of $a+b$ is ( ).
(A) 2
(B) 3
(C) $\pm 2$
(D) 2 or 3",,"import Mathlib

/- 1. Given two monomials about $x, y$: $8 x^{3-6} y^{2 b-3}$ and $-a x^{3-2 a} y^{b-a}$, their difference is still a monomial. Then the value of $a+b$ is ( ).
(A) 2
(B) 3
(C) $\pm 2$
(D) 2 or 3 -/
theorem algebra_305758 {a b : ℝ} (ha : 0 < a) (hb : 0 < b)
    (h : ∃ c : ℝ, 8 * X ^ (3 - 6) * Y ^ (2 * b - 3) - a * X ^ (3 - 2 * a) * Y ^ (b - a) = c) :
    a + b = 2 ∨ a + b = 3 := by",,
3b375e63-d7e9-55f6-b904-a0e79e46e81a,math-word-problem,no,,no,yes,"The fourth part of 36 is 9. 36 - 9 electricians - 16 masons $=11$. On the construction site, there are 9 electricians and 11 roofers.","## Task 1

For the renovation of a large residential building, a total of 36 masons, roofers, and electricians are employed. One fourth of all workers are electricians. There are 16 masons on the construction site.

How many roofers and electricians are working on the construction site?",,"import Mathlib

/- ## Task 1

For the renovation of a large residential building, a total of 36 masons, roofers, and electricians are employed. One fourth of all workers are electricians. There are 16 masons on the construction site.

How many roofers and electricians are working on the construction site? -/
theorem algebra_203828 (total_workers : ℕ) (h₀ : total_workers = 36)
    (h₁ : electricians = total_workers / 4) (h₂ : masons = 16) :
    roofers + electricians = total_workers - masons := by",,
c4ee1082-1f64-5204-bb92-f4d1627f4019,math-word-problem,yes,yes,yes_generated,yes,"Solution 1: For $x \in [0,1]$, we have $|f(x)| \leqslant 1$, thus
$$
\begin{array}{l}
|f(0)| \leqslant 1, \left|f\left(\frac{1}{2}\right)\right| \leqslant 1, |f(1)| \leqslant 1. \\
\text { Also } f(0)=c, \\
f\left(\frac{1}{2}\right)=\frac{1}{4} a+\frac{1}{2} b+c, \\
f(1)=a+b+c,
\end{array}
$$

Solving simultaneously, we get
$$
\begin{array}{l}
a=2 f(0)-4 f\left(\frac{1}{2}\right)+2 f(1), \\
b=-3 f(0)+4 f\left(\frac{1}{2}\right)-f(1), \\
c=f(0) .
\end{array}
$$
$$
\begin{array}{l}
\text { Hence }|a|=\left|2 f(0)-4 f\left(\frac{1}{2}\right)+2 f(1)\right| \\
\leqslant 2|f(0)|+4\left|f\left(\frac{1}{2}\right)\right|+2|f(1)| \\
\leqslant 2+4+2=8 .
\end{array}
$$

Similarly, $|b| \leqslant 3+4+1=8, |c| \leqslant 1$.
Therefore, $|a|+|b|+|c| \leqslant 17$.
Moreover, when $f(0)=f(1)=-f\left(\frac{1}{2}\right)=1$, i.e.,
$$
a=8, b=-8, c=1
$$

or $f(0)=f(1)=-f\left(\frac{1}{2}\right)=-1$,
i.e., $a=-8, b=8, c=-1$, the equality holds.
Thus, the maximum value of $|a|+|b|+|c|$ is 17.
Solution 2: For $x \in (0,1)$, we have
$$
\left\{\begin{array}{l}
f(0)=c, \\
f(1)=a+b+c, \\
f(x)=a x^{2}+b x+c .
\end{array}\right.
$$

Substituting (1) into (2) and (3), we get
$$
\begin{array}{l}
a=\frac{1}{x(1-x)}[-f(x)+f(1) x+f(0)(1-x)], \\
b=\frac{1}{x(1-x)}\left[f(x)-f(1) x^{2}-f(0)\left(1-x^{2}\right)\right] .
\end{array}
$$

From (4), for all $x \in (0,1)$, we have
$$
\begin{array}{l}
|a| \leqslant \frac{1}{x(1-x)}[|f(x)|+|f(1)| x+|f(0)|(1-x)] \\
\leqslant \frac{1}{x(1-x)}[1+x+(1-x)] \\
=\frac{2}{x(1-x)} .
\end{array}
$$

But $x(1-x) \leqslant\left[\frac{x+(1-x)}{2}\right]^{2}=\frac{1}{4}$, with equality holding only when $x=\frac{1}{2}$, hence
$$
|a| \leqslant \min _{x \in(0,1)} \frac{2}{x(1-x)}=8,
$$
with equality holding only when $x=\frac{1}{2}$.
Substituting into (6), the conditions for equality are
$$
\left\{\begin{array}{l}
x=\frac{1}{2}, \\
f(1)=1, \\
f(0)=1, \\
f\left(\frac{1}{2}\right)=-1
\end{array} \text { or } \left\{\begin{array}{l}
x=\frac{1}{2}, \\
f(1)=-1, \\
f(0)=-1, \\
f\left(\frac{1}{2}\right)=1 .
\end{array}\right.\right.
$$

This gives $\left\{\begin{array}{l}a=8, \\ c=1\end{array}\right.$ or $\left\{\begin{array}{l}a=-8, \\ c=-1 .\end{array}\right.$
Similarly, from (5) we have
$$
\begin{array}{l}
|b| \leqslant \frac{1}{x(1-x)}\left[1+x^{2}+\left(1-x^{2}\right)\right]=\frac{2}{x(1-x)}, \\
|b| \leqslant \min _{x \in(0,1)} \frac{2}{x(1-x)}=8 .
\end{array}
$$

The conditions for equality are
$$
\left\{\begin{array}{l}
x=\frac{1}{2}, \\
f(1)=1, \\
f(0)=1, \\
f\left(\frac{1}{2}\right)=-1
\end{array} \text { or } \left\{\begin{array}{l}
x=\frac{1}{2}, \\
f(1)=-1, \\
f(0)=-1, \\
f\left(\frac{1}{2}\right)=1 .
\end{array}\right.\right.
$$

This gives $\left\{\begin{array}{l}b=-8, \\ c=1\end{array}\right.$ or $\left\{\begin{array}{l}b=8, \\ c=-1 .\end{array}\right.$
From (1), (7), and (8), we get
$|a|+|b|+|c| \leqslant 8+8+1=17$.
Furthermore, when $a=8, b=-8, c=1$, for $x \in [0,1]$, we have
$$
\begin{array}{l}
f(x)=8 x^{2}-8 x+1=-1+2(2 x-1)^{2} \geqslant-1, \\
f(x)=8 x^{2}-8 x+1=1-8 x(1-x) \leqslant 1 .
\end{array}
$$

Therefore, the maximum value of $|a|+|b|+|c|$ is 17.","Example 2 If the quadratic function $f(x)=a x^{2}+b x+c$ has values whose absolute values do not exceed 1 on $[0,1]$, what is the maximum value of $|a|+$ $|b|+|c|$?","Let \(f(x) = ax^2 + bx + c\) be a quadratic function, and assume that for all \(x\) in the closed interval \([0, 1]\), the absolute value of \(f(x)\) does not exceed 1, i.e., \(|f(x)| \leq 1\). We aim to prove that \(|a| + |b| + |c| \leq 17\).

The proof proceeds by first establishing a set of linear inequalities on \(a, b, c\) using the given condition, and then using a case analysis on the signs of \(a, b, c\) combined with linear arithmetic to prove the final bound.

**Step 1: Deriving Initial Inequalities**

We apply the condition \(|f(x)| \leq 1\) at specific points within the interval \([0, 1]\):

1.  **At \(x = 0\):** Since \(0 \in [0, 1]\), we have \(|f(0)| \leq 1\). Substituting the definition of \(f(x)\), we get \(|a \cdot 0^2 + b \cdot 0 + c| \leq 1\), which simplifies to:
    \(|c| \leq 1\)

2.  **At \(x = 1\):** Since \(1 \in [0, 1]\), we have \(|f(1)| \leq 1\). Substituting the definition of \(f(x)\), we get \(|a \cdot 1^2 + b \cdot 1 + c| \leq 1\), which simplifies to:
    \(|a + b + c| \leq 1\)

3.  **At \(x = 1/2\):** Since \(1/2 \in [0, 1]\), we have \(|f(1/2)| \leq 1\). Substituting the definition of \(f(x)\), we get \(|a \cdot (1/2)^2 + b \cdot (1/2) + c| \leq 1\), which simplifies to:
    \(|\frac{1}{4}a + \frac{1}{2}b + c| \leq 1\)

4.  **At \(x = 2/3\):** Since \(2/3 \in [0, 1]\), we have \(|f(2/3)| \leq 1\). Substituting the definition of \(f(x)\), we get \(|a \cdot (2/3)^2 + b \cdot (2/3) + c| \leq 1\), which simplifies to:
    \(|\frac{4}{9}a + \frac{2}{3}b + c| \leq 1\)

5.  **At \(x = 1/3\):** Since \(1/3 \in [0, 1]\), we have \(|f(1/3)| \leq 1\). Substituting the definition of \(f(x)\), we get \(|a \cdot (1/3)^2 + b \cdot (1/3) + c| \leq 1\), which simplifies to:
    \(|\frac{1}{9}a + \frac{1}{3}b + c| \leq 1\)

**Step 2: Expanding Absolute Value Inequalities**

Each of these five absolute value inequalities can be rewritten as a pair of linear inequalities. Specifically, \(|X| \leq Y\) is equivalent to \(-Y \leq X \leq Y\). Applying this to our inequalities, we obtain the following 10 linear inequalities:

1.  \(-1 \leq c \leq 1\)
2.  \(-1 \leq a + b + c \leq 1\)
3.  \(-1 \leq \frac{1}{4}a + \frac{1}{2}b + c \leq 1\)
4.  \(-1 \leq \frac{4}{9}a + \frac{2}{3}b + c \leq 1\)
5.  \(-1 \leq \frac{1}{9}a + \frac{1}{3}b + c \leq 1\)

**Step 3: Case Analysis on Signs of \(a, b, c\)**

The proof proceeds by considering all \(2^3 = 8\) possible combinations of signs for \(a, b, c\). In each case, the target inequality \(|a| + |b| + |c| \leq 17\) is rewritten by replacing the absolute values with the variables themselves or their negations, based on the assumed signs. For example:
*   If \(a \geq 0, b \geq 0, c \geq 0\), the goal becomes \(a + b + c \leq 17\).
*   If \(a < 0, b \geq 0, c \geq 0\), the goal becomes \(-a + b + c \leq 17\).
*   And so on for all 8 combinations.

**Step 4: Linear Arithmetic Deduction**

In each of these 8 subcases, the `linarith` tactic (a decision procedure for linear arithmetic) is applied. This tactic automatically deduces the transformed target inequality (e.g., \(a - b + c \leq 17\) in the case \(a \geq 0, b < 0, c \geq 0\)) by combining the 10 linear inequalities derived in Step 2 with the specific sign assumptions for that subcase. The `linarith` tactic is powerful enough to find appropriate linear combinations of these inequalities to establish the desired bound.

Since the `linarith` tactic successfully proves the goal in all 8 subcases, the general statement \(|a| + |b| + |c| \leq 17\) holds.

The proof is complete.","import Mathlib

open Real Set
open scoped BigOperators

/- Example 2 If the quadratic function $f(x)=a x^{2}+b x+c$ has values whose absolute values do not exceed 1 on $[0,1]$, what is the maximum value of $|a|+$ $|b|+|c|$? -/
theorem algebra_305992 (f : ℝ → ℝ) (a b c : ℝ)
  (hf : ∀ x ∈ Icc 0 1, |f x| ≤ 1) (h : f = λ x => a * x ^ 2 + b * x + c) :
  |a| + |b| + |c| ≤ 17 := by","import Mathlib

open Real Set
open scoped BigOperators

theorem algebra_305992 (f : ℝ → ℝ) (a b c : ℝ)
  (hf : ∀ x ∈ Icc 0 1, |f x| ≤ 1) (h : f = λ x => a * x ^ 2 + b * x + c) :
  |a| + |b| + |c| ≤ 17 := by
  have h1 := hf 0 (by norm_num)
  simp [h] at h1
  have h2 := hf 1 (by norm_num)
  simp [h] at h2
  have h3 := hf (1 / 2) (by norm_num)
  simp [h] at h3
  have h4 := hf (2 / 3) (by norm_num)
  simp [h] at h4
  have h5 := hf (1 / 3) (by norm_num)
  simp [h] at h5
  cases' abs_le.mp h1 with h11 h12
  cases' abs_le.mp h2 with h21 h22
  cases' abs_le.mp h3 with h31 h32
  cases' abs_le.mp h4 with h41 h42
  cases' abs_le.mp h5 with h51 h52
  cases' abs_cases a with ha ha <;> cases' abs_cases b with hb hb <;> cases' abs_cases c with hc hc <;> 
    all_goals
      linarith",
ae9152f0-e39a-5821-886a-1ec9999fc73d,math-word-problem,no,,no,yes,"We can assume without loss of generality that $a \leq b$.

- For $a=b=1$ we get $c=1$, so $(1,1,1)$ is a solution.
- For $a=1$ and $b>1$ the left side is greater than 1 and odd, and therefore cannot be a power of two. Thus, there is no solution in this case.
- For $a=b=2$ we get $c=2$, so $(2,2,2)$ is a solution.
- For $a=2$ and $b=3$ we have $2 !+3 !=8=2^{3}$. However, there is no $c$ such that $c !=3$. Thus, there is no solution in this case.
- For $a=2$ and $b \geq 4$ we have $2 !+b ! \geq 2 !+4 !=26$. Therefore, $c !>4$ must hold. However, the left side is congruent to 2 modulo 4, while the right side is congruent to 0 modulo 4. Thus, there is no solution in this case.
- For $a \geq 3$ and $b \geq 3$ the left side is divisible by 3, while the right side, being a power of two, is not. Thus, there is no solution in this case.

(Reinhard Razen)","Determine all triples $(a, b, c)$ of positive integers for which

$$
a !+b !=2^{c !}
$$

holds.

(Walther Janous)

Answer. The only solutions are $(1,1,1)$ and $(2,2,2)$.",,"import Mathlib

/- Determine all triples $(a, b, c)$ of positive integers for which

$$
a !+b !=2^{c !}
$$

holds.

(Walther Janous)

Answer. The only solutions are $(1,1,1)$ and $(2,2,2)$. -/
theorem number_theory_260414 (a b c : ℕ) (ha : 0 < a) (hb : 0 < b) (hc : 0 < c)
    (h : Nat.factorial a + Nat.factorial b = 2 ^ Nat.factorial c) :
    (a = 1 ∧ b = 1 ∧ c = 1) ∨ (a = 2 ∧ b = 2 ∧ c = 2) := by",,
